id,user,created_at,lang,full_text
1096833663873024000,848815098466643969,Sat Feb 16 18:08:18 +0000 2019,ur,"وعدوں سے تکمیل تک کا سفر!
کل انشاءاللہ مراد سعید کےقول کےعین مطابق دو سو سےزائد ‘عرب’ پاکستان آرہےہیں! 
#CrownPrince"
1096779212898340864,848815098466643969,Sat Feb 16 14:31:56 +0000 2019,ur,"سرکاری گاڑی پر 'گورنمنٹ آف پاکستان' کی جگہ 'سرونٹ آف پبلک' لکھناچاہئے!
یقین مانیں 80٪ گاڑیوں سےخود بخود اسٹیکراترجائینگے۔
اسکےعلاوہ یہ جو MNA,MPA یا چھوٹےبڑےسالے،چاچے بچےاور رشتےدار باربار گاڑی سےنکل کربولتے ہیں نا ”تجھےپتہ ہےمیں کون ہوں“ یہ بھی بندہوجائےگا!!
#دو_ںہیں_ایک_پاکستان"
1096278920243097601,848815098466643969,Fri Feb 15 05:23:57 +0000 2019,ur,"مودی حکومت شروع سےہی پاکستان مخالف مہم پررواں دواں ہےاوراب الیکشن کےنزدیک پاکستان پرالزام لگاکرعوامی سپورٹ لی جائےگی۔
خاص طورپراس وقت جب سعودی فرمانرواہ دورہ پاکستان کرنےوالےہیں، اس قسم کےحملہ کاپاکستان سوچ بھی نہیں سکتا! مگر یہ حملہ ہرطرح سے BJP کےمفاد میں ہے!!
#Pulwama #Kashmir"
1096029613141176322,848815098466643969,Thu Feb 14 12:53:17 +0000 2019,ur,"یعنی کل شہبازشریف نے سعودی ولی عہد سےملنےکی خواہش فرمائی اور آج وہ باہر ہیں!
واہ کتنی مبارک گھڑی تھی ویسے!
سعودی شہزادےکا جاہ وجلال و مال و اسباب کےساتھ پاکستان آنا اور دو دن قیام کرنا بےمعنی نہیں ہوسکتا! خان صاحب کنڈی لگاکر رکھنا کتےچور دوڑ نا جان!!
#ShehbazSharif https://t.co/VrJ81hza20"
1095989619244650496,848815098466643969,Thu Feb 14 10:14:22 +0000 2019,ur,"نشہ اسکول کالجوں سے ہوتا ہوا کوٹ لکهپت جیل تک پہنچ چکا ہے 😂😂😂
#CrownPrince #NawazSharif https://t.co/jc2qZZKZpT"
1095741696925671425,848815098466643969,Wed Feb 13 17:49:13 +0000 2019,ur,"تمام اہلیانِ پی ایس ایل کو چاند رات مبارک ہو!
کل انشاءاللہ سٹیج بھی سجے گا سیٹی بھی بجے گی اور دیوانوں کا کھیل بھی ہوگا!!

 #KhelDeewanoKa #PSL4"
1095310973089574912,848815098466643969,Tue Feb 12 13:17:40 +0000 2019,ur,"صرف جوش ہی نہیں کارکاردگی بھی 👏
کپتان کےسب سےنوجوان کھلاڑی @MuradSaeedPTI نےچند ماہ میں ہی اربوں کاریکارڈمنافع کماکریہ ثابت کیاہےکہ ملک کی بہتری نوجوانوں کےہاتھوں ہی ممکن ہے۔ اوریہ بھی کہ اس ملک کو آلِ شریف یابھٹو کی نہیں بلکہ جذبہ، لگن اورایماندارلوگوں کی ضرورت ہے!!
#MuradSaeed"
1094973347224584192,848815098466643969,Mon Feb 11 14:56:04 +0000 2019,ur,"ہور بھئی چھوٹے سنا فیر۔۔۔
شاباش چک کےرکھ کم نوں !!
#RaheelSharif #COAS https://t.co/HqGs4PASUM"
1094607325254610944,848815098466643969,Sun Feb 10 14:41:37 +0000 2019,ur,"نہ میٹرو، نہ موٹروے نہ سڑکیں نہ پل۔۔۔
پی آئی اے اور بیوروکریسی کی روشن تاریخ، پاکستان کو عطاکردہ قدرتی وسائل، قوم کےبڑےدل کی تعریف، عوام کی حالت بہتر کرنےکا عزم اور بیرونِ ملک سرمایہ کاروں کو پاکستان آنےکی دعوت۔

بےشک، جب لیڈر بولتےہیں تو دنیا سنتی ہے!!
#WorldGovernmentSummit"
1094263765510561792,848815098466643969,Sat Feb 09 15:56:26 +0000 2019,ur,رضی صاحب کی گرفتاری ناجائزہوگی مگرکیاانکاریاست اوراداروں کےخلاف بولناجائزہے؟ قانون سب کےلیےبرابرہے۔باقی اگریوں سوشل میڈیاٹرینڈکےدباؤمیں آکرملزم رہاکرنےلگےتوکل یہ لوگ سرکےبالوں تک آجائیں گے! اتناشوراس لیےمچایاجارہاہےکیونکہ سب کواپناانجام نظرآرہاہے!! #ماراوئےڈپٹی #ReleaseRaziDada https://t.co/bw8jzAzVKq
1093892610635247616,848815098466643969,Fri Feb 08 15:21:36 +0000 2019,ur,"""زرداری اورنوازشریف چورہیں""
""گزشتہ حکومتوں نےملک کابیڑاغرق کردیا""
""کسی کوڈیل یاڈھیل نہیں ملےگی""
یہ سب ٹھیک مگراس سےکام نہیں چلےگا!
6ماہ گزرگئےمگرحکومت اب تک Reaction Mode میں ہے۔الزام تراشی اورکوسنےدینےکی بجائےکام کرناپڑےگا۔اب Action کاوقت ہے! اب آپ لائن کےاِس طرف بیٹھےہیں جناب!!"
1093805033714532352,848815098466643969,Fri Feb 08 09:33:36 +0000 2019,ur,"آج کا سوال:
"" چائنا اکنامک کولی ڈور "" سےکیا مراد ہے؟
نوٹ: او نوٹ نوں چھڈو یار میرا تےہاسا ہی نئی رک ریا 😂
#CPEC #TalalChaudhry"
1093772565431140354,848815098466643969,Fri Feb 08 07:24:35 +0000 2019,ur,"وَتَوَكَّلۡ عَلَى اللّٰهِ‌ؕ وَكَفٰى بِاللّٰهِ وَكِيۡلاً ﴿۸۱﴾

اور خدا پر بھروسہ رکھو اور خدا ہی کافی کارساز ہے۔
(سورۂ النساء ۴:۸۱)

#JummahMubarak"
1093549139122708480,848815098466643969,Thu Feb 07 16:36:46 +0000 2019,ur,"السلام علیکم دوستو!
تاریخ اسلام، تاریخ پاکستان، اردو ادب، فلسفہ، صوفی کلام، شاعری، مزاح پر کوئی اچھی کتاب یا اپنی پسندیدہ کتاب کام نام شیئر کریں۔ دیکھتےہیں کہ یہاں کتنے باذوق لوگ موجود ہیں، ویسےبھی آج کچھ نیاپڑھنے کو دل کررہا ہے 🙂
#BooksareLife"
1093421300922621956,848815098466643969,Thu Feb 07 08:08:47 +0000 2019,ur,"محلے میں ایک چور پکڑا جائے تو باقیوں کو بھی ڈر لگ جاتا ہے کہ ''اگلی واری میری''
زرداری خاندان کی موجودہ صورت حال ایسی ہی ہے!
#AsifAliZardari"
1093121032616071169,848815098466643969,Wed Feb 06 12:15:38 +0000 2019,ur,"پہلےبابراعوان اوراب علیم خان، دونوں نےاستعفیٰ دےکرجرات اورغیرت کی مثال قائم کی۔
کاش نوازشریف نےبھی پانالیکس کےفوراََ بعد استعفی دےدیاہوتا تاکہ وہ ہربات کی طرح اب بھی تحریک انصاف کو اپنی پیروی کاطعنہ دےسکتے!
کیااب شہبازشریف صاحب بھی استعفی دےکراسی غیرت کامظاہرہ کریں گے؟
#AleemKhan"
1093062189521518592,848815098466643969,Wed Feb 06 08:21:48 +0000 2019,ur,"ہرسیاسی جماعت فنڈزکےذرائع بتائے، حساس ادارےاورفوج اپنی حدمیں رہیں، حلف کی خلاف ورزی کرنےوالےفوجی افسران کےخلاف کاروائی،دھرنےمیں نقصان کےذمہ داروں کےخلاف کاروائی، پرتشدد مواددکھانےپرمیڈیاکےخلاف کاروائی!
اس فیصؒےکےبعدعدالت کی خودمختاری اورآزادی پرکسی کوشک نہیں ہوناچاہیے!!
#faizabad"
